REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,ORIGINAL_DEMAND,MODELLED_DEMAND
VIC1,2025-01-01 11:35:00,3552.4642424242425,-9.963636363636365,AVERAGE,3552.4642424242425,3836.6613818181822
VIC1,2025-01-01 11:40:00,3547.9553030303027,-7.816818181818183,AVERAGE,3547.9553030303027,3831.7917272727273
VIC1,2025-01-01 11:45:00,3558.2146969696973,-7.620454545454546,AVERAGE,3558.2146969696973,3842.8718727272735
VIC1,2025-01-01 11:50:00,3546.537424242424,-11.072272727272727,AVERAGE,3546.537424242424,3830.2604181818183
VIC1,2025-01-01 11:55:00,3560.2160606060606,-8.516818181818183,AVERAGE,3560.2160606060606,3845.0333454545457
VIC1,2025-01-01 12:00:00,3548.5695454545453,-8.124848484848485,AVERAGE,3548.5695454545453,3832.455109090909
VIC1,2025-01-01 12:05:00,3564.328333333333,-9.383939393939396,AVERAGE,3564.328333333333,3849.4746
VIC1,2025-01-01 12:10:00,3569.5592424242423,-10.044090909090908,AVERAGE,3569.5592424242423,3855.123981818182
VIC1,2025-01-01 12:15:00,3568.556212121212,-11.261212121212122,AVERAGE,3568.556212121212,3854.0407090909093
VIC1,2025-01-01 12:20:00,3563.614848484848,-10.368030303030302,AVERAGE,3563.614848484848,3848.704036363636
VIC1,2025-01-01 12:25:00,3583.0216666666665,-15.048030303030302,AVERAGE,3583.0216666666665,3869.6634
VIC1,2025-01-01 12:30:00,3572.2778787878788,-13.61090909090909,AVERAGE,3572.2778787878788,3858.0601090909095
VIC1,2025-01-01 12:35:00,3583.885303030303,-18.991515151515152,AVERAGE,3583.885303030303,3870.5961272727277
VIC1,2025-01-01 12:40:00,3575.0672727272727,-17.86439393939394,AVERAGE,3575.0672727272727,3861.072654545455
VIC1,2025-01-01 12:45:00,3587.9010606060606,-14.655757575757576,AVERAGE,3587.9010606060606,3874.933145454546
VIC1,2025-01-01 12:50:00,3600.1824242424245,-10.848484848484848,AVERAGE,3600.1824242424245,3888.1970181818187
VIC1,2025-01-01 12:55:00,3620.860454545455,-9.942121212121211,AVERAGE,3620.860454545455,3910.5292909090917
VIC1,2025-01-01 13:00:00,3621.582121212122,-10.530151515151514,AVERAGE,3621.582121212122,3911.3086909090916
VIC1,2025-01-01 13:05:00,3638.00393939394,-15.208636363636366,AVERAGE,3638.00393939394,3929.0442545454557
VIC1,2025-01-01 13:10:00,3637.183333333333,-15.776363636363635,AVERAGE,3637.183333333333,3928.158
VIC1,2025-01-01 13:15:00,3655.488636363637,-17.709090909090907,AVERAGE,3655.488636363637,3947.927727272728
VIC1,2025-01-01 13:20:00,3661.7439393939394,-8.993181818181817,AVERAGE,3661.7439393939394,3954.683454545455
VIC1,2025-01-01 13:25:00,3690.102575757576,-6.992878787878787,AVERAGE,3690.102575757576,3985.310781818182
VIC1,2025-01-01 13:30:00,3696.008484848485,-8.231666666666666,AVERAGE,3696.008484848485,3991.689163636364
VIC1,2025-01-01 13:35:00,3719.032575757576,-9.508939393939391,AVERAGE,3719.032575757576,4016.5551818181825
VIC1,2025-01-01 13:40:00,3732.7284848484846,-18.61,AVERAGE,3732.7284848484846,4031.346763636364
VIC1,2025-01-01 13:45:00,3749.639696969697,-24.235,AVERAGE,3749.639696969697,4049.610872727273
VIC1,2025-01-01 13:50:00,3773.617878787879,-7.948636363636364,AVERAGE,3773.617878787879,4075.5073090909095
VIC1,2025-01-01 13:55:00,3806.463939393939,-6.759848484848486,AVERAGE,3806.463939393939,4110.981054545455
VIC1,2025-01-01 14:00:00,3817.080606060606,-1.626060606060606,AVERAGE,3817.080606060606,4122.447054545455
VIC1,2025-01-01 14:05:00,3839.5466666666666,-10.474242424242425,AVERAGE,3839.5466666666666,4146.7104
VIC1,2025-01-01 14:10:00,3853.7239393939394,-5.118484848484848,AVERAGE,3853.7239393939394,4162.0218545454545
VIC1,2025-01-01 14:15:00,3873.251818181818,-4.271515151515152,AVERAGE,3873.251818181818,4183.111963636364
VIC1,2025-01-01 14:20:00,3901.716515151515,-1.2654545454545465,AVERAGE,3901.716515151515,4213.853836363636
VIC1,2025-01-01 14:25:00,3939.774545454545,-2.704242424242425,AVERAGE,3939.774545454545,4254.956509090909
VIC1,2025-01-01 14:30:00,3953.999848484848,-1.355151515151516,AVERAGE,3953.999848484848,4270.319836363636
VIC1,2025-01-01 14:35:00,3973.443787878788,-0.6734848484848495,AVERAGE,3973.443787878788,4291.319290909091
VIC1,2025-01-01 14:40:00,4013.450909090909,-3.889545454545454,AVERAGE,4013.450909090909,4334.526981818182
VIC1,2025-01-01 14:45:00,4067.440606060606,6.400757575757575,AVERAGE,4067.440606060606,4392.835854545455
VIC1,2025-01-01 14:50:00,4107.281969696969,10.977727272727272,AVERAGE,4107.281969696969,4435.864527272727
